Date, Open, High, Low, Close
04/05/24, 34052.50, 34060.14, 33812.10, 34010.88
04/04/24, 34483.08, 34583.97, 34420.72, 34454.58
04/03/24, 34393.71, 34484.12, 34282.09, 34480.87
04/02/24, 34829.39, 34907.97, 34323.29, 34325.23
03/28/24, 34803.87, 34857.59, 34724.38, 34750.35
03/27/24, 34696.63, 34819.16, 34656.16, 34759.69
03/26/24, 34672.35, 34795.66, 34653.34, 34688.17
03/25/24, 34381.14, 34661.67, 34374.43, 34639.41
03/22/24, 34205.34, 34392.95, 34179.84, 34343.61
03/21/24, 34587.43, 34601.61, 34300.97, 34327.95
03/20/24, 34252.33, 34308.78, 34189.33, 34293.29
03/19/24, 33940.00, 34266.88, 33872.26, 34262.36
03/18/24, 33998.67, 34142.90, 33858.93, 33940.96
03/15/24, 33778.03, 34041.56, 33759.20, 33940.03
03/14/24, 33948.44, 34023.40, 33736.76, 33786.18
03/13/24, 33798.43, 34010.17, 33778.81, 33885.43
03/12/24, 33415.20, 33783.50, 33341.96, 33753.12
03/11/24, 33185.59, 33326.01, 33109.25, 33315.07
03/08/24, 33462.12, 33514.34, 33393.11, 33403.80
03/07/24, 33275.78, 33489.73, 33195.46, 33418.68
03/06/24, 33142.88, 33405.07, 33136.44, 33363.84
03/05/24, 32867.30, 33184.72, 32832.75, 33146.16
03/04/24, 32903.62, 32947.14, 32818.45, 32912.34
03/01/24, 32772.05, 32966.93, 32739.19, 32934.29
02/29/24, 32633.32, 32784.99, 32579.73, 32580.94
02/28/24, 32645.15, 32661.07, 32540.00, 32617.96
02/27/24, 32570.07, 32724.54, 32505.88, 32706.44
02/26/24, 32691.05, 32711.16, 32550.37, 32557.81
02/23/24, 32428.21, 32707.02, 32420.80, 32700.92
02/22/24, 32291.17, 32475.12, 32194.66, 32356.26
02/21/24, 31755.60, 32037.01, 31749.90, 32018.40
02/20/24, 31645.47, 31774.80, 31616.76, 31701.48
02/19/24, 31663.16, 31718.45, 31588.55, 31676.05
02/16/24, 31880.18, 31945.34, 31704.36, 31732.39
02/15/24, 31479.89, 31698.86, 31479.89, 31694.44
02/14/24, 31128.97, 31375.91, 31094.98, 31329.38
02/13/24, 31473.49, 31484.23, 31101.87, 31134.17
02/12/24, 31311.81, 31472.58, 31280.06, 31456.73
02/09/24, 31115.07, 31211.93, 31054.12, 31156.06
02/08/24, 31070.86, 31179.09, 30987.05, 31064.15
02/07/24, 31172.35, 31214.83, 30939.07, 30976.02
02/06/24, 31145.46, 31171.04, 30982.96, 31116.75
02/05/24, 30789.37, 31093.02, 30771.31, 30952.79
02/02/24, 30888.38, 30913.07, 30684.18, 30717.95
02/01/24, 30643.09, 30867.87, 30534.31, 30689.11
01/31/24, 30673.56, 30922.01, 30625.05, 30744.24
01/30/24, 30370.59, 30640.34, 30233.29, 30623.27
01/29/24, 30386.51, 30404.19, 30093.55, 30233.61
01/26/24, 30200.88, 30423.53, 30167.34, 30379.33
01/25/24, 30209.84, 30243.01, 29987.57, 30157.80
01/24/24, 30195.29, 30338.35, 30131.40, 30338.35
01/23/24, 30284.28, 30293.03, 29956.40, 30077.46
01/22/24, 30396.87, 30453.66, 30089.68, 30182.32
01/19/24, 30529.16, 30532.80, 30234.05, 30283.61
01/18/24, 30135.47, 30455.60, 30069.95, 30350.53
01/17/24, 30116.55, 30173.67, 29925.99, 30098.86
01/16/24, 30146.02, 30346.64, 29995.57, 30337.62
01/15/24, 30521.72, 30533.32, 30270.14, 30327.72
01/12/24, 30395.06, 30587.18, 30370.64, 30470.55
01/11/24, 30608.02, 30724.33, 30248.47, 30249.16
01/10/24, 30475.69, 30572.48, 30328.68, 30450.78
01/09/24, 30615.28, 30655.20, 30321.04, 30408.78
01/08/24, 30379.85, 30574.74, 30200.78, 30569.92
01/05/24, 30219.58, 30520.15, 30130.25, 30440.95
01/04/24, 30173.79, 30409.61, 30129.01, 30403.96
01/03/24, 30521.84, 30564.36, 30013.92, 30100.84
01/02/24, 30519.55, 30863.58, 30326.86, 30524.63
12/29/23, 30376.28, 30481.25, 30316.00, 30351.62
12/28/23, 30502.21, 30518.91, 30331.17, 30331.17
12/27/23, 30414.02, 30515.99, 30324.68, 30421.51
12/22/23, 30268.04, 30392.88, 30208.85, 30353.29
12/21/23, 30220.57, 30312.60, 30143.04, 30274.26
12/20/23, 30452.37, 30461.00, 30204.35, 30361.21
12/19/23, 30262.03, 30374.84, 30200.69, 30363.53
12/18/23, 30275.06, 30338.91, 30196.27, 30241.02
12/15/23, 30501.50, 30593.45, 30302.96, 30373.89
12/14/23, 30595.04, 30652.90, 30145.65, 30359.06
12/13/23, 30356.89, 30465.86, 30293.54, 30295.69
12/12/23, 30500.94, 30571.47, 30341.18, 30342.15
12/11/23, 30417.50, 30469.61, 30303.34, 30426.58
12/08/23, 30149.82, 30427.08, 30057.59, 30403.90
12/07/23, 30297.19, 30342.98, 30052.94, 30121.77
12/06/23, 30212.02, 30454.65, 30139.55, 30326.29
12/05/23, 29902.54, 30089.82, 29888.65, 30082.88
12/04/23, 29919.76, 29983.62, 29826.33, 29914.09
12/01/23, 29835.59, 29943.94, 29755.02, 29928.45
11/30/23, 29793.41, 29882.68, 29645.18, 29737.38
11/29/23, 29408.88, 29729.88, 29402.91, 29688.45
11/28/23, 29315.92, 29378.35, 29186.79, 29376.74
11/27/23, 29429.82, 29479.62, 29252.87, 29342.29
11/24/23, 29277.40, 29438.34, 29191.64, 29432.30
11/23/23, 29220.64, 29273.32, 29079.75, 29235.71
11/22/23, 29241.70, 29360.65, 29097.92, 29154.91
11/21/23, 29503.24, 29537.45, 29153.42, 29153.42
11/20/23, 29452.02, 29580.94, 29422.24, 29541.90
11/17/23, 29319.73, 29540.21, 29319.73, 29498.43
